Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-24,224.0,224.5,220.0,223.0,3064107,214.5,220.55,Down
2026-02-25,227.5,235.0,223.0,227.0,10129374,218.6,221.575,Down
2026-02-26,236.0,242.5,221.5,231.0,10944623,224.5,222.475,Up
2026-03-02,226.0,233.0,225.0,225.0,5494727,227.4,223.0,Up
2026-03-03,214.5,228.0,213.5,226.0,4832465,225.6,221.875,Up
2026-03-04,198.5,211.5,198.5,208.0,4630169,220.5,220.5,Down
2026-03-05,207.0,209.0,202.0,207.5,2623332,216.4,219.45,Down
2026-03-06,218.5,224.0,203.0,206.0,7107440,212.9,219.175,Down
2026-03-09,203.5,207.5,198.5,204.5,3870752,208.4,217.05,Down
2026-03-10,206.0,211.5,203.0,211.0,2430946,206.7,215.275,Down
2026-03-11,208.5,210.5,206.5,208.0,2000793,208.7,214.25,Down
2026-03-12,203.5,210.0,202.5,205.0,2449391,208.0,213.625,Down
2026-03-13,203.0,204.5,199.0,199.0,1863554,204.9,212.95,Down
2026-03-16,200.0,204.5,198.5,203.0,1890185,204.2,211.875,Down
2026-03-17,205.0,209.5,202.5,202.5,2685020,204.0,211.55,Down
2026-03-18,208.5,210.5,206.0,208.5,2518203,204.0,211.925,Down
2026-03-19,203.0,207.5,202.0,207.5,1972361,203.9,211.725,Down
2026-03-20,203.0,205.5,200.0,203.0,1747183,203.9,211.55,Down
2026-03-23,191.0,202.5,191.0,200.0,4266066,202.1,210.525,Down
2026-03-24,191.5,196.5,187.0,195.5,2029291,199.4,208.925,Down
2026-03-25,197.5,200.0,196.0,196.0,1623511,197.2,207.6,Down
2026-03-26,193.5,200.0,193.0,200.0,1490561,195.3,205.9,Down
2026-03-27,189.0,190.0,185.5,190.0,1885829,192.5,203.55,Down
2026-03-30,184.5,185.0,181.5,184.0,1342558,191.2,201.475,Down
2026-03-31,178.5,186.5,178.0,182.5,1654536,188.6,199.675,Down
2026-04-01,182.5,185.0,182.0,185.0,883370,185.6,198.875,Down
2026-04-02,179.0,186.5,179.0,184.5,1023124,182.7,197.475,Down
2026-04-07,179.0,182.0,178.5,182.0,856992,180.7,195.5,Down
2026-04-08,186.5,188.5,182.5,183.0,1372122,181.1,194.65,Down
2026-04-09,183.0,189.0,182.5,189.0,905340,182.0,193.5,Down
2026-04-10,186.0,187.0,185.0,187.0,858755,182.7,192.375,Down
2026-04-13,192.5,192.5,183.0,188.0,1964590,185.4,191.825,Down
2026-04-14,193.5,197.0,192.0,196.5,1582567,188.3,191.35,Down
2026-04-15,194.0,200.0,193.5,196.5,2501788,189.8,191.05,Down
2026-04-16,196.0,197.5,192.0,196.5,1634392,192.4,190.6,Up
2026-04-17,197.5,200.0,194.0,199.5,1976260,194.7,190.05,Up
